# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,-7.954896795820602488e-04
1.003295978905734964e+00,-0.000000000000000000e+00,1.001492537313432685e+00,5.303264530547068326e-04
1.006756756756756577e+00,-0.000000000000000000e+00,1.003150912106135939e+00,5.303264530547068326e-04
1.010382333553065282e+00,6.670855964212191484e-04,1.004975124378109541e+00,-7.954896795820602488e-04
1.013843111404086894e+00,-0.000000000000000000e+00,1.006799336650082921e+00,-7.954896795820602488e-04
1.017303889255108729e+00,-0.000000000000000000e+00,1.008457711442786175e+00,-7.954896795820602488e-04
1.020270270270270174e+00,-0.000000000000000000e+00,1.010116086235489208e+00,-7.954896795820602488e-04
1.023566249176005138e+00,-0.000000000000000000e+00,1.011608623548922115e+00,-7.954896795820602488e-04
1.027191825972313843e+00,-0.000000000000000000e+00,1.013266998341625147e+00,-7.954896795820602488e-04
1.030817402768622104e+00,-0.000000000000000000e+00,1.015091210613598749e+00,-7.954896795820602488e-04
1.034278180619643939e+00,-0.000000000000000000e+00,1.016915422885572129e+00,-7.954896795820602488e-04
1.037903757415952422e+00,-0.000000000000000000e+00,1.018573797678275383e+00,-1.325816132636767081e-04
1.040870138431113867e+00,-0.000000000000000000e+00,1.020232172470978416e+00,-1.325816132636767081e-04
1.044166117336849053e+00,-0.000000000000000000e+00,1.021724709784411322e+00,-1.325816132636767081e-04
1.047956493078444185e+00,-0.000000000000000000e+00,1.023383084577114355e+00,5.303264530547068326e-04
1.051582069874752667e+00,-0.000000000000000000e+00,1.025207296849087957e+00,-7.954896795820602488e-04
1.055207646671061372e+00,-0.000000000000000000e+00,1.027031509121061337e+00,-1.325816132636767081e-04
1.058833223467369633e+00,1.334171192842438297e-03,1.028855721393034717e+00,5.303264530547068326e-04
1.061799604482531301e+00,-0.000000000000000000e+00,1.030514096185737971e+00,5.303264530547068326e-04
1.065260382333553135e+00,-0.000000000000000000e+00,1.032006633499170656e+00,-1.325816132636767081e-04
1.069050758075148266e+00,-0.000000000000000000e+00,1.033830845771144258e+00,1.193234519373090373e-03
1.072676334871456749e+00,-0.000000000000000000e+00,1.035489220563847290e+00,1.193234519373090373e-03
1.076466710613052102e+00,-0.000000000000000000e+00,1.037313432835820892e+00,1.193234519373090373e-03
1.080092287409360585e+00,4.002513578527314674e-03,1.039137645107794272e+00,2.585341458641695483e-03
1.083223467369808901e+00,3.335427982106095850e-03,1.040796019900497527e+00,3.248249524960079241e-03
1.086684245220830514e+00,2.668342385684876594e-03,1.042288557213930433e+00,1.922433392323312376e-03
1.090474620962425645e+00,4.002513578527314674e-03,1.044112769485903813e+00,3.911157591278462999e-03
1.094429795649307646e+00,3.335427982106095850e-03,1.045936981757877193e+00,2.585341458641695483e-03
1.098220171390902999e+00,5.336684771369753187e-03,1.047761194029850795e+00,3.248249524960079241e-03
1.102010547132498353e+00,5.336684771369753187e-03,1.049585406301824175e+00,4.574065657596846322e-03
1.105141727092946669e+00,7.337941560633410090e-03,1.051243781094527430e+00,4.574065657596846322e-03
1.108767303889254929e+00,1.000628394631828712e-02,1.052736318407960114e+00,7.291988729502218297e-03
1.112557679630850282e+00,1.067336954273950637e-02,1.054560530679933716e+00,7.954896795820601621e-03
1.116512854317732284e+00,1.127374657951860440e-02,1.056384742951907096e+00,8.617804862138986680e-03
1.120468029004614285e+00,1.067336954273950637e-02,1.058208955223880698e+00,1.000991180140759114e-02
1.124258404746209639e+00,1.460917456162469895e-02,1.060199004975124204e+00,1.199863600036274111e-02
1.127554383651944603e+00,1.661043135088835498e-02,1.061857379767827458e+00,1.199863600036274111e-02
1.131179960448253086e+00,1.927877373657323201e-02,1.063349917081260365e+00,1.133572793404435952e-02
1.135135135135135087e+00,2.328128731510055102e-02,1.065174129353233745e+00,1.537946713858649901e-02
1.139090309822017089e+00,2.594962970078542458e-02,1.067164179104477695e+00,1.537946713858649901e-02
1.143045484508899090e+00,2.995214327931274012e-02,1.068822553897180727e+00,2.081531328239724296e-02
1.147000659195781092e+00,3.262048566499761715e-02,1.070812603648424455e+00,2.214112941503400961e-02
1.150296638101516056e+00,3.388794829819793269e-02,1.072470978441127709e+00,2.552196055325776577e-02
1.153922214897824539e+00,3.922463306956767981e-02,1.073963515754560394e+00,2.751068475221291748e-02
1.158042188529993410e+00,4.322714664809500229e-02,1.075953565505804344e+00,3.155442395675505524e-02
1.161997363216875412e+00,4.989800261230718792e-02,1.077777777777777724e+00,3.559816316129719993e-02
1.166117336849044062e+00,5.456760178725572619e-02,1.079601990049751103e+00,3.699027010056580439e-02
1.170072511535926063e+00,6.117174919182579579e-02,1.081426202321724706e+00,4.235982543774470532e-02
1.173533289386947898e+00,6.450717717393188166e-02,1.083250414593698085e+00,4.640356464228685002e-02
1.177323665128543029e+00,7.184511873456529696e-02,1.084742951907130992e+00,4.912148771419221766e-02
1.181443638760711901e+00,7.911635173555658929e-02,1.086733001658374720e+00,5.382813498505274741e-02
1.185563612392880550e+00,8.512012210334755913e-02,1.088557213930348322e+00,5.926398112886348962e-02
