# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,-1.325816132636767081e-04
1.001647989452867371e+00,-0.000000000000000000e+00,1.002819237147595244e+00,-1.325816132636767081e-04
1.003460777851021835e+00,-0.000000000000000000e+00,1.006301824212272100e+00,-7.954896795820602488e-04
1.005108767303889206e+00,6.670855964212191484e-04,1.009784411276948513e+00,5.303264530547068326e-04
1.006921555702043447e+00,-0.000000000000000000e+00,1.013432835820895495e+00,-7.954896795820602488e-04
1.008569545154911040e+00,-0.000000000000000000e+00,1.016915422885572129e+00,-1.325816132636767081e-04
1.010052735662491763e+00,-0.000000000000000000e+00,1.020232172470978416e+00,-1.325816132636767081e-04
1.011700725115359134e+00,-0.000000000000000000e+00,1.023051409618573881e+00,-7.954896795820602488e-04
1.013513513513513598e+00,-0.000000000000000000e+00,1.026699834162520641e+00,-7.954896795820602488e-04
1.015326301911667839e+00,-0.000000000000000000e+00,1.030182421227197276e+00,5.303264530547068326e-04
1.016974291364535210e+00,-0.000000000000000000e+00,1.033830845771144258e+00,-1.325816132636767081e-04
1.018787079762689451e+00,6.670855964212191484e-04,1.037313432835820892e+00,1.193234519373090373e-03
1.020270270270270174e+00,-0.000000000000000000e+00,1.040796019900497527e+00,1.193234519373090373e-03
1.021918259723137767e+00,-0.000000000000000000e+00,1.043781094527363118e+00,1.193234519373090373e-03
1.023731048121291787e+00,-0.000000000000000000e+00,1.047429519071310100e+00,1.922433392323312376e-03
1.025379037574159602e+00,-0.000000000000000000e+00,1.051077943615257082e+00,2.585341458641695483e-03
1.027191825972313843e+00,-0.000000000000000000e+00,1.054726368159204064e+00,2.585341458641695483e-03
1.029004614370467863e+00,6.670855964212191484e-04,1.058374792703151046e+00,3.248249524960079241e-03
1.030487804878048808e+00,2.668342385684876594e-03,1.061857379767827458e+00,3.911157591278462999e-03
1.032135794330916179e+00,2.001256789263657337e-03,1.064842454394693272e+00,2.585341458641695483e-03
1.033948582729070420e+00,4.669599174948534798e-03,1.068490878938640254e+00,4.574065657596846322e-03
1.035761371127224661e+00,3.335427982106095850e-03,1.072305140961857362e+00,4.574065657596846322e-03
1.037574159525378903e+00,4.002513578527314674e-03,1.075953565505804344e+00,5.966172596865451649e-03
1.039386947923533366e+00,5.336684771369753187e-03,1.079767827529021451e+00,9.347003735089207815e-03
1.040870138431113867e+00,6.003770367790971577e-03,1.083250414593698085e+00,1.000991180140759114e-02
1.042518127883981460e+00,8.005027157054629347e-03,1.086235489220563677e+00,1.133572793404435952e-02
1.044330916282135702e+00,9.339198349897069595e-03,1.090049751243781007e+00,1.266154406668112443e-02
1.046143704680289943e+00,1.067336954273950637e-02,1.093864013266998336e+00,1.471655907226811395e-02
1.047956493078444185e+00,1.327500336878226217e-02,1.097678275290215444e+00,1.537946713858649901e-02
1.049769281476598426e+00,1.194083217593982192e-02,1.101492537313432774e+00,2.081531328239724296e-02
1.051252471984179371e+00,1.594334575446713920e-02,1.105140961857379756e+00,2.412985361398915785e-02
1.052900461437046742e+00,1.594334575446713920e-02,1.108126036484245347e+00,2.684777668589453242e-02
1.054713249835200983e+00,2.061294492941567053e-02,1.112106135986733024e+00,3.155442395675505524e-02
1.056526038233355225e+00,2.328128731510055102e-02,1.115920398009950132e+00,3.632736203424741933e-02
1.058503625576796336e+00,2.528254410436420532e-02,1.119900497512437809e+00,3.897899429952094569e-02
1.060316413974950578e+00,2.795088649004907888e-02,1.123714759535654917e+00,4.706647270860522814e-02
1.061799604482531301e+00,3.195340006857640136e-02,1.127529021558872246e+00,5.250231885241597729e-02
1.063447593935398672e+00,3.588920508746159393e-02,1.130514096185738060e+00,5.654605805695811505e-02
1.065425181278839784e+00,3.722337628030403245e-02,1.134494195688225515e+00,6.264481226708724926e-02
1.067237969676994025e+00,4.122588985883134105e-02,1.138474295190713192e+00,6.934018373690291337e-02
1.069050758075148266e+00,4.589548903377987932e-02,1.142454394693200648e+00,7.676475407966880382e-02
1.071028345418589378e+00,4.989800261230718792e-02,1.146434494195688325e+00,8.485223248875309321e-02
1.072511535926169879e+00,5.523468738367694891e-02,1.150248756218905433e+00,9.095098669888222742e-02
1.074159525379037472e+00,5.783632120971969603e-02,1.153233830845771024e+00,9.903846510796648905e-02
1.076137112722478584e+00,5.983757799898335727e-02,1.157379767827529049e+00,1.085180504563193760e-01
1.077949901120632825e+00,6.784260515603798836e-02,1.161359867330016504e+00,1.159426207990852803e-01
1.079762689518787067e+00,7.317928992740774241e-02,1.165505804311774529e+00,1.253559153408063120e-01
1.081575477916941086e+00,7.911635173555658929e-02,1.169485903814261984e+00,1.361613168217959691e-01
1.083223467369808901e+00,8.378595091050512755e-02,1.173466003316749662e+00,1.455746113635170425e-01
1.084871456822676272e+00,8.578720769976878879e-02,1.176616915422885379e+00,1.543912886455515443e-01
1.086849044166117162e+00,9.245806366398097442e-02,1.180597014925373056e+00,1.638045831872725622e-01
1.088661832564271403e+00,9.779474843535072848e-02,1.184742951907131081e+00,1.773279077401676007e-01
1.090639419907712515e+00,1.064001526291844524e-01,1.188888888888888884e+00,1.880670184145254165e-01
1.092452208305866757e+00,1.117368374005542064e-01,1.193034825870646687e+00,2.015903429674204272e-01
1.094100197758734350e+00,1.190747789611876217e-01,1.197014925373134364e+00,2.123957444484100843e-01
